"Experiment page name",Study,"Location of subjects","Host species","Body site","UBERON ID",Condition,"EFO ID","Group 0 name","Group 1 name","Group 1 definition","Group 0 sample size","Group 1 sample size","Antibiotics exclusion","Sequencing type","16S variable region","Sequencing platform","Statistical test","Significance threshold","MHT correction","LDA Score above","Matched on","Confounders controlled for",Pielou,Shannon,Chao1,Simpson,"Inverse Simpson",Richness,State,Reviewer
"Experiment 1","Study 149",Mexico,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,controls,Obese,obesity,10,10,,WMS,,Illumina,LEfSe,0.05,false,,,,,unchanged,decreased,unchanged,,decreased,Complete,
"Experiment 1","Study 138",China,"Homo sapiens",Feces,UBERON:0001988,"lung cancer",MONDO:0008903,controls,"lung cancer",,30,30,"3 months",16S,"3,4",Illumina,"Linear Regression",0.05,false,,,,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 163",Austria,"Homo sapiens",Saliva,UBERON:0001836,"squamous cell carcinoma",EFO:0000707,"Healthy Controls","Oropharyngeal Squamous Cell Carcinoma","diagnosed with OSCC and SCC of the oral cavity",11,11,"1 month",16S,4,Illumina,DESeq2,0.05,false,,,,,unchanged,,,unchanged,,Complete,
"Experiment 1","Study 129","United States of America","Homo sapiens",Feces,UBERON:0001988,"multiple sclerosis",MONDO:0005301,"healthy controls","multiple sclerosis",,36,31,current,16S,"3,4,5",Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,"age,sex",,,unchanged,,,,,Complete,
"Experiment 1","Study 239","United States of America","Homo sapiens",Feces,UBERON:0001988,"egg allergy",EFO:0007248,"healthy control","infant with egg allergy","infant with egg allergy",75,66,,16S,4,Illumina,"LEfSe,Logistic Regression",0.05,false,2,,"age,antibiotic,atopic eczema,breast feeding",,increased,increased,,,increased,Complete,
"Experiment 1","Study 199",China,"Homo sapiens",Uterus,UBERON:0000995,"ovarian cancer",MONDO:0008170,controls,"ovarian cancer","preliminary diagnosis of suspected ovarian cancer and undergoing laparotomy",10,6,"2 months",16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,unchanged,unchanged,unchanged,,,Complete,
"Experiment 1","Study 116",Spain,"Homo sapiens",Feces,UBERON:0001988,"type I diabetes mellitus",MONDO:0005147,"healthy controls","children with type 1 diabetes","Type 1 diabetes was diagnosed following the criteria of the American Diabetes Association and the appearance of at least two persistent, confirmed anti-islet autoantibodies (insulin autoantibodies, glutamic acid decarboxylase autoantibodies or tyrosine phosphatase autoantibodies)",16,16,"3 months",16S,"2,3",RT-qPCR,"Mann-Whitney (Wilcoxon)",0.05,false,,"age,breastfeeding duration,delivery procedure,race,sex",,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 119","United States of America","Homo sapiens",Feces,UBERON:0001988,"type II diabetes mellitus",MONDO:0005148,"Metaformin negative among Opoid negative","Metaformin positive","Opioid use was defined as “Yes” if during review of medical record two parameters were present: 1) the participant was under care of psychiatric care professional, and 2) psychiatric care professional established the diagnosis of opioid use disorder as official diagnosis in medical record",34,21,,16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 117",Netherlands,"Homo sapiens","Oral gland",UBERON:0010047,pneumonia,EFO:0003106,"elderly controls","elderly pneumonia patients",,91,100,"3 months",16S,"5,6,7",Roche454,T-Test,0.05,true,,,"age,comorbidity,smoking behavior",,increased,,,,decreased,Complete,
"Experiment 1","Study 175","United States of America","Homo sapiens",Mouth,UBERON:0000165,"pancreatic carcinoma",EFO:0002618,controls,"pancreatic cancer cases","subjects from the two cohorts with incident primary pancreatic adenocarcinoma",371,361,,16S,"3,4",Roche454,"Logistic Regression",0.05,false,,"age,sex",,,,,,,,Complete,
"Experiment 1","Study 220",France,"Homo sapiens","Skin of body",UBERON:0002097,age,EFO:0000246,"younger age","older age European women",aging,17,17,"1 month",16S,"3,4",Illumina,LEfSe,0.05,false,3,,,,increased,unchanged,,,unchanged,Complete,
"Experiment 1","Study 141","United Kingdom","Homo sapiens",Vagina,UBERON:0000996,"preterm premature rupture of the membranes",MONDO:0012511,controls,PPROM,"(PPROM) preterm premature rupture of the membranes",36,60,"9 months",16S,"1,2",Illumina,LEfSe,0.05,false,,"body mass index,ethnic group,gestational age,maternal age",,,,,,unchanged,,Complete,
"Experiment 1","Study 276",China,"Homo sapiens",Feces,UBERON:0001988,"multiple myeloma",EFO:0001378,"healthy control","Multiple Myeloma patient","patient diagnosis with multiple myeloma and no other disease validated to affect intestinal microbial including digestive disease like liver cirrhosis, liver cancer, inflammatory bowel disease, and irritable bowel syndrome; systemic disease like diabetes and hypertension and thyroid disease; no treatment including antibiotics, chemotherapy, plasma exchange or bone marrow transplant; no cold, fever or other infections within 3 months before sampling with administrated antibacterial drugs, gastrointestinal motility drugs or micro-ecological conditioning agents like eating and living habit change 1 week before sampling",17,40,"3 months",16S,"3,4",Illumina,T-Test,0.05,false,,,,,,,,,,Complete,
"Experiment 1","Study 125",Japan,"Homo sapiens",Saliva,UBERON:0001836,"squamous cell carcinoma",EFO:0000707,"noncancer individuals","Oral Squamous Cell Cancer patients","All diagnoses of oral squamous cell carcinoma were confirmed by biopsy and pathological findings.The control group was defined as individuals without any diagnosed mucosal diseases and other cancers and these individuals were over the age of 40.",80,60,"28 days",16S,"3,4",Illumina,T-Test,0.05,false,,,,,unchanged,increased,unchanged,,increased,Complete,Fatima
"Experiment 1","Study 142","United States of America","Homo sapiens","Oral gland",UBERON:0010047,"oral squamous cell carcinoma",EFO:0000199,Controls,HNSCC,"histopathologically confirmed HNSCC (Head & Neck Squamous Cell Cancer) and had atleast one post-treatment salivary sample",25,17,,16S,"3,4,5",Roche454,LEfSe,0.05,false,,,,,,decreased,,,decreased,Complete,"Rimsha Azhar"
"Experiment 1","Study 108",Japan,"Homo sapiens",Feces,UBERON:0001988,"anorexia nervosa",EFO:0004215,"healthy controls","anorexia nervosa patients",,21,25,"3 months",16S,,RT-qPCR,"Mann-Whitney (Wilcoxon)",0.002,true,,,age,,,,,,,Complete,
"Experiment 1","Study 101",France,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"lean controls",obese,"Obese patients, as defined by a BMI>=30 kg/m2",47,68,"less than one month before stool collection",16S,,RT-qPCR,"Mann-Whitney (Wilcoxon)",0.05,false,,,age,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 263",Canada,"Homo sapiens",Feces,UBERON:0001988,"Crohn's disease",EFO:0000384,"healthy controls","chron's disease","patients with immune-mediated inflammatory disease (IMID)",23,20,"8 weeks",16S,4,Illumina,Kruskall-Wallis,0.05,true,,,,,decreased,,decreased,,,Complete,Fatima
"Experiment 1","Study 180",Portugal,"Homo sapiens",Stomach,UBERON:0000945,"gastric carcinoma",EFO:0000178,"chronic gastritis","gastric carcinoma","gastric carcinoma",23,23,,16S,"5,6","Ion Torrent",LEfSe,0.05,true,4,age,,,decreased,unchanged,,,,Complete,
"Experiment 1","Study 298","United States of America","Homo sapiens","Feces,Mouth","UBERON:0001988,UBERON:0000165","acute myeloid leukemia",EFO:0000222,oral,stool,"stool samples collected from 59 patients with acute myeloid leukemia after induction chemotherapy",483,365,,16S,4,Illumina,Kruskall-Wallis,0.05,true,,,,,unchanged,unchanged,unchanged,,,Complete,
"Experiment 1","Study 273",Canada,"Homo sapiens",Feces,UBERON:0001988,"acute lymphoblastic leukemia",EFO:0000220,"non-infectious complications (NIC)","Infectious complications (IC)","Infectious complications (IC) in the past 6 months of Acute Lymphoblastic Leukemia treatment",7,9,"Prophylactic Septra which was prescribed ubiquitously to patients throughout the study, as per standard of care.",WMS,"4,5",Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,,,,,decreased,Complete,
"Experiment 1","Study 279","United States of America","Homo sapiens",Mouth,UBERON:0000165,"acute myeloid leukemia",EFO:0000222,"Low Intensity Chemotherapy","High Intensity Chemotherapy","Acute Myeloid Leukemia patients with receiving low- intensity remission induction chemotherapy",11,28,,16S,4,Illumina,ANOVA,0.05,false,,,,,increased,,,,,Complete,
"Experiment 1","Study 402",Australia,"Homo sapiens",Feces,UBERON:0001988,"atopic eczema",EFO:0000274,"healthy control","IgE associated eczema","Infants with typical skin lesions responsive to topical steroids diagnosed with eczema and with severity determined using the SCORAD index",8,6,,16S,"3,4",Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,"delivery procedure,medical procedure",,unchanged,unchanged,,,,,Complete,
"Experiment 1","Study 267","United States of America","Homo sapiens",Bronchus,UBERON:0002185,"atopic asthma",EFO:0010638,"healthy control","atopic asthma","atopic asthma",21,42,"3 months",16S,4,Illumina,,0.1,true,,,,unchanged,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 344",China,"Mus musculus",Colon,UBERON:0001155,"air pollution",ENVO:02500037,"mice exposed suspension from extracts of “blank” filter","mice exposed to Pm 2.5 suspension","exposed to PM2.5 suspension",12,12,,16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,2,,,,increased,decreased,increased,,increased,Complete,
"Experiment 1","Study 387",Sweden,"Homo sapiens",Feces,UBERON:0001988,"antimicrobial agent",CHEBI:33281,"before ciprofloxacin exposure","after ciprofloxacin exposure","""healthy"" adults between the ages of 18-45 years old with normal medical histories and physical examinations who were given ciprofloxacin",9,9,"3 months",16S,"5,6,7",Roche454,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,,,,,decreased,Complete,Claregrieve1
"Experiment 1","Study 368","Saudi Arabia","Homo sapiens",Tongue,UBERON:0001723,"smoking behavior",EFO:0004318,"non-shammah users","shammah users","participants who used shammah daily for at least one year without a period of cessation and those who had no history of shammah use",23,29,"3 months",16S,"1,2,3",Illumina,LEfSe,0.015,true,,sex,,,unchanged,unchanged,unchanged,,unchanged,Complete,
"Experiment 1","Study 297",China,"Homo sapiens","Posterior fornix of vagina",UBERON:0016486,"human papilloma virus infection",EFO:0001668,"non pregnant no HPV","non pregnant high risk HPV","non pregnant high risk HPV confirmed using HPV genotyping kit",30,19,"2 weeks",16S,"3,4",Illumina,LEfSe,0.05,false,3.5,,,,increased,increased,,,increased,Complete,"Fatima Zohra"
"Experiment 1","Study 87",Spain,"Homo sapiens",Feces,UBERON:0001988,"type I diabetes mellitus",MONDO:0005147,"maturity-onset diabetes of the young 2 (MODY2) and healthy Controls","Type I Diabetics","type 1 diabetes was diagnosed according to the criteria of the American Diabetes Association and the positivity of at least two persistent, confirmed anti-islet autoantibodies (anti-insulin autoantibodies, GAD autoantibodies, or tyrosine phosphatase autoantibodies). MODY2 children were diagnosed by suggestive clinical history, negative anti-islet autoantibodies, and positive genetic testing. Healthy control subjects were children with negative anti-islet autoantibodies,",28,15,"3 months",16S,"2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.05,true,,"age,body mass index,delivery procedure,race,sex",,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 35",China,"Homo sapiens","Oral gland",UBERON:0010047,"Sjogren syndrome",EFO:0000699,Control,PSS,,23,22,,16S,"3,4",Illumina,LEfSe,0.05,false,4,"age,sex",,decreased,decreased,unchanged,,decreased,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 325",Israel,"Homo sapiens",Feces,UBERON:0001988,psoriasis,EFO:0000676,"healthy controls",psoriasis,"patients with active psoriatic disease diagnosed by a senior dermatologist",22,24,"3 months",16S,4,Illumina,LEfSe,0.05,true,,"age,comorbidity,sex",,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 362",Mexico,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"normal weight children",obese,"School-aged children",56,16,"4 months",16S,,RT-qPCR,ANOVA,0.05,true,,,,,,,,,,Complete,
"Experiment 1","Study 94",Germany,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"baseline participants","3 months","A threshold of 10% weight loss and maintenance of it over one year has been proposed as definition for successful weight loss maintenance",16,16,"3 months",WMS,,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,unchanged,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 406",China,"Homo sapiens",Saliva,UBERON:0001836,"lung cancer",MONDO:0008903,"healthy controls","non-smoking female lung cancer patients","female and have confirmed diagnosis of non-small-cell lung cancer",172,75,,16S,"1,2",Illumina,LEfSe,0.05,false,3,age,,,decreased,,,,decreased,Complete,
"Experiment 1","Study 79",Germany,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"Laparoscopic sleeve gastrectomy after 3 months and 6 Months combined","Laparoscopic sleeve gastrectomy baseline",,3,3,"3 months",WMS,,Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 67",Italy,"Homo sapiens",Feces,UBERON:0001988,autism,EFO:0003758,neurotypical,autistic,"cases were diagnosed according to the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition.",40,40,"3 months",16S,"3,4,5",Roche454,"Welch's T-Test",0.05,true,,,"age,sex",,,,,,,Complete,Fatima
"Experiment 1","Study 332",China,"Homo sapiens",Feces,UBERON:0001988,"Hashimoto's thyroiditis",EFO:0003779,"healthy controls","hashimoto's thyroiditis patients","The Thyroid stimulating hormone(TSH) was higher than 5 μIU/ml, T4 was lower than 4.2 μg/dl, T3 was lower than 0.78 ng/ml, anti-thyroid peroxidase antibodies level was higher than 15 IU/ml, and anti-thyroglobulin antibodies was more than 30%",12,29,"60 days",16S,"3,4",Illumina,T-Test,0.05,false,,,,,unchanged,increased,unchanged,,unchanged,Complete,
"Experiment 1","Study 58","United States of America","Homo sapiens",Meconium,UBERON:0007109,"high fat diet",EFO:0002757,"nebowrns of maternal control","newborns of maternal high-fat diet","To determine maternal dietary intake during pregnancy, each mother was asked by trained personnel at each sample collection time point to answer the Dietary Screener Questionnaire (DSQ), which was developed and validated by the National Health and Examination Survey (NHANES) program (2009–2010)",13,13,,16S,"3,4,5",Roche454,LEfSe,0.05,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 290",Netherlands,"Homo sapiens",Mouth,UBERON:0000165,"oral mucositis",EFO:1001904,"no ulcerative oral mucositis","ulcerative oral mucositis","patient developed uclerative oral mucositis",31,20,,16S,4,RT-qPCR,LEfSe,0.05,false,2,,,,,,,,,Complete,
"Experiment 1","Study 36",Italy,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"control adult","obese adolescent",,25,12,"2 months",16S,"1,2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,age,,,unchanged,decreased,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 353",India,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,non-obese,obese,"(Private) School Children",13,15,"1 month",16S,,RT-qPCR,"Mann-Whitney (Wilcoxon)",0.05,false,,"class/grade level",,,,,,,,Complete,
"Experiment 1","Study 39",Philippines,"Homo sapiens","Skin of body",UBERON:0002097,"body odor measurement",EFO:0008386,"after excercise","youth underarm before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support",30,30,,WMS,,Illumina,"Mann-Whitney (Wilcoxon)",0.01,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 97",China,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"healthy controls","obese patients prior to Sleeve gastrectomy SG0","obese patients had a body mass index (BMI) of >28 kg/m2.",20,19,"3 months",16S,4,"Ion Torrent",Kruskall-Wallis,0.05,false,4,"age,sex",,,unchanged,unchanged,,,unchanged,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 376",Spain,"Homo sapiens",Feces,UBERON:0001988,"antimicrobial agent",CHEBI:33281,"before antibiotic exposure","patients that took amoxiclav","took amoxiclav for 7 days",7,7,,16S,4,RT-qPCR,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,,decreased,,,decreased,Complete,
"Experiment 1","Study 355",Belgium,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"control (lean/normal weight)","obese (obese/overweight/morbidly obese)",Children,27,26,"1 month",16S,,RT-qPCR,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,,,,,,Complete,
"Experiment 1","Study 33",Japan,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,controls,obese,"BMI ≥25 kg/m2",4,6,"current use",16S,"3,4",Illumina,"Welch's T-Test",0.05,false,,,,,increased,,,,,Complete,Fatima
"Experiment 1","Study 30",Belgium,"Homo sapiens",Feces,UBERON:0001988,"chronic fatigue syndrome",EFO:0004540,"Belgian controls","Norweigan controls","Patients were diagnosed for CFS according to the clinical criteria of Fukuda et al",19,17,"4 weeks",16S,"5,6",Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,unchanged,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 356",China,"Mus musculus",Colon,UBERON:0001155,"air pollution",ENVO:02500037,"mice dams exposed to filtered blanks PND 3","ICR male mice exposed to PM 2.5","ICR mice exposed to PM 2.5 air",8,8,,16S,"3,4",Illumina,LEfSe,0.05,false,,,,,,unchanged,unchanged,,increased,Complete,
"Experiment 1","Study 293",China,"Homo sapiens","Uterine cervix",UBERON:0000002,"human papilloma virus infection",EFO:0001668,"Baseline HPV-","Baseline HPV+","HPV+ confirmed by HPV assay and genotyping",43,90,"2 weeks",16S,4,Illumina,LEfSe,0.05,false,2,,,,unchanged,decreased,unchanged,,unchanged,Complete,"Fatima Zohra"
"Experiment 1","Study 63",Japan,"Homo sapiens",Feces,UBERON:0001988,"cesarean section",EFO:0009636,"vaginal delivery after 7 days of delivery","C-section delivery",,134,17,"No information about pre-delivey duration. 3 Vaginally-delivered infants have been exposed to antibiotics (birth to sampling)",16S,,RT-qPCR,"Fisher's Exact Test",0.05,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 318",Japan,"Homo sapiens",Feces,UBERON:0001988,"graft versus host disease",MONDO:0013730,"non-acute graft-versus-host disease","acute graft-versus-host disease","participants that developed acute graft-versus-host disease after allogeneic hematopoeitic transplant and graded accordinly to pattern of organ involvement and clinical performance status using a system introduced by Glucksberg et al. (Severity Index), which includes late-onset of acute graft-versus-host disease (more than 100 days after transplantation)",,107,,16S,"1,2",Roche454,T-Test,0.01,false,,,,,,,,,,Complete,
"Experiment 1","Study 74",Netherlands,"Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,non-obese,obese,"obesity: BMI 30.5-60.3 kg/m2",13,15,"6 months",16S,,"Human Intestinal Tract Chip","Mann-Whitney (Wilcoxon)",0.05,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 248","South Africa","Homo sapiens","Uterine cervix",UBERON:0000002,"human papilloma virus infection",EFO:0001668,"low risk hpv","high risk hpv","High risk HPV infection confirmed through HPV genotyping test",57,30,,16S,"3,4",Illumina,LEfSe,0.2,true,2,,,,unchanged,,unchanged,,,Complete,"Fatima Zohra"
"Experiment 1","Study 93",Finland,"Homo sapiens",Meconium,UBERON:0007109,"cesarean section",EFO:0009636,"vaginal delivery",C-section,,172,40,"newborns administerated antibiotics during delivery: Cefuroxime (n= 31), penicillin (n= 28), piperacillin-tazobactam (n=2)",16S,"4,5","Ion Torrent","Mann-Whitney (Wilcoxon)",0.05,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 384",China,"Homo sapiens",Feces,UBERON:0001988,schizophrenia,MONDO:0005090,"healthy controls",FSCZ,"first-episode drug naive schizophrenia (FSCZ) diagnosed according to the DSM IV criteria and PANSS having illness duration <=12 months and no treatment with antipsychotic medications before",69,40,"1 month",16S,4,Illumina,DESeq2,0.05,true,,demographics,,,unchanged,unchanged,,,unchanged,Complete,
"Experiment 1","Study 250","United States of America","Homo sapiens",Tongue,UBERON:0001723,"severe aplastic anemia",EFO:0006927,baseline,"hematopoietic stem cell transplantation engraftment","In HSCT patients, The first sample was obtained before transplant conditioning treatment. The second specimen was collected at engraftment, defined as two absolute neutrophil counts of greater than 500 per microliter for at least 2 days. The final specimen collection occurred at the participant’s scheduled clinic visit approximately 100 days following transplant.",4,4,,16S,"2,3,4,5,6,7,8","Ion Torrent",LEfSe,0.05,false,,,,,,,,,,Complete,
"Experiment 1","Study 397",China,"Homo sapiens","Skin of body",UBERON:0002097,"atopic eczema",EFO:0000274,"healthy control","severe atopic dermatitis","child with severe atopic dermatitis based on eczema area and severity index (EASI) local rating method",20,20,"1 month",16S,"1,2",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,,decreased,increased,,decreased,Complete,
"Experiment 1","Study 351","Trinidad and Tobago","Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,normal,overweight/obesity,"school aged children (6-14 years)",30,21,"3 months",16S,,Illumina,ANOVA,0.05,false,,,,,,,,,decreased,Complete,
"Experiment 1","Study 255","United Republic of Tanzania","Homo sapiens","Uterine cervix",UBERON:0000002,"human papilloma virus infection",EFO:0001668,"negative for intraepithelial lesion or malignancy","high-grade squamous intraepithelial lesions","high-grade squamous intraepithelial lesions (HSIL) comfirmed by Pap smear",23,45,,16S,4,Illumina,LEfSe,0.1,true,,,,,,unchanged,,,,Complete,"Fatima Zohra"
"Experiment 1","Study 115",China,"Homo sapiens",Feces,UBERON:0001988,"unipolar depression",EFO:0003761,controls,MDD,,30,31,"1 month",WMS,,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,unchanged,decreased,,unchanged,,Complete,
"Experiment 1","Study 143",Ireland,"Homo sapiens","Mesenteric lymph node",UBERON:0002509,"inflammatory bowel disease",EFO:0003767,"Ulcerative colitis","Crohn's disease","histopathologivally diagnosed ulcerative colitis and crohn's disease",8,5,,16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,decreased,increased,,,increased,Complete,"Rimsha Azhar"
"Experiment 1","Study 120",Spain,"Rattus norvegicus",Feces,UBERON:0001988,"physical activity",EFO:0003940,"exercise group","Activity Based Anorexia group","(a) Activity based anorexia (ABA) group: rats starved by restricting food access to 23 hours per day and confined to running wheels except during a 60 min meal per day, (b) Control ABA group: rats submitted to the same food restriction schedule as ABA with no wheel access exercise, (c) Exercise group: rats feed ad libitum with free access to the activity wheel and (d) Ad libitum group: rats feed ad libitum but without access to the activity wheel.",10,10,,16S,"2,3",RT-qPCR,Kruskall-Wallis,0.05,true,,"body weight",,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 190",Norway,"Homo sapiens",Feces,UBERON:0001988,"breast milk measurement",EFO:0009092,"one-month age infants exposed to low chemical breast milk","one-month age infants exposed to high chemical breast milk","low chemical exposure is < 20th percentile breast milk toxicant exposure and high chemical exposure is ≥ 80th percentile breast milk toxicant exposure.",,,"more than two weeks prior sampling",16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,"gestational age",,increased,,,,,Complete,
"Experiment 1","Study 195",China,"Homo sapiens","Dental plaque",UBERON:0016482,"chronic hepatitis B virus infection",EFO:0004239,"healthy controls","chronic hepatitis B","chronic hepatitis B",10,10,"1 month",16S,"1,2,3",Roche454,LEfSe,0.05,false,2,,,,decreased,decreased,increased,,decreased,Complete,
"Experiment 1","Study 123","United States of America","Rattus norvegicus",Feces,UBERON:0001988,diet,EFO:0002755,"low fat diet","high fat diet","High fat diet rats were fed (20% protein, 35% carbohydrate, 45% fat by calories).  Controls or low fat diet were fed (20% protein, 70% carbohydrate, 10% fat by calories) for eight weeks.",6,6,,16S,,Roche454,ANOVA,0.05,false,,,,,unchanged,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 155","United States of America","Homo sapiens",Mouth,UBERON:0000165,"esophageal cancer",MONDO:0007576,controls,"Esophageal Adenocarcinoma (EAC)","diagnosed with easophageal cancer anytime after oral wash sample collection",160,81,,16S,4,Illumina,"Logistic Regression",0.05,false,,"age,race,sex","alcohol drinking,body mass index,smoking behavior",,unchanged,,,,unchanged,Complete,"Fatima Zohra"
"Experiment 1","Study 136","Russian Federation","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"high vegetable, fruit, grain","Low vegetable, fruit, grains,","low fiber",215,215,,16S,4,Illumina,LEfSe,0.05,true,2,,,,,,,,,Complete,
"Experiment 1","Study 235","United States of America","Homo sapiens",Feces,UBERON:0001988,"food allergy",EFO:1001890,"healthy control","child with food allergy","child with food allergy",21,22,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,"age,sex",,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 130",Spain,"Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"low Southern European Atlantic Diet","high Southern European Atlantic Diet","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).",3,7,"6 months",16S,,RT-qPCR,ANOVA,0.05,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 110",China,"Homo sapiens",Feces,UBERON:0001988,schizophrenia,MONDO:0005090,"healthy controls",schizophrenia,,41,41,"1 month",16S,,RT-qPCR,T-Test,0.05,false,,,,,,,,,,Complete,
"Experiment 1","Study 124","South Korea","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"distance runners (high carb)","body builders (high protein)",,15,15,"6 months",16S,"3,4",Illumina,Kruskall-Wallis,0.05,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 150",China,"Homo sapiens",Saliva,UBERON:0001836,"head and neck carcinoma",MONDO:0002038,"Healthy controls","Throat cancer","throat cancer including cancer of oropharynx, hypopharynx, nasopharynx and larynx",29,32,"6 months",16S,3,Illumina,LEfSe,0.05,false,4,,,,decreased,decreased,decreased,,,Complete,"Fatima Zohra"
"Experiment 1","Study 209","United States of America","Homo sapiens",Meconium,UBERON:0007109,"cesarean section",EFO:0009636,"vaginal delivery",C-section,"meconium defined as the first stool passed, other than meconium staining of amniotic fluid.",62,43,"Mothers of infants born by CS received significantly more peripartum antibiotics than those born by VD (43/43 (100%) in CS vs. 19/62 (31%) in VD, p < 0.001).",16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,increased,,increased,,unchanged,Complete,
"Experiment 1","Study 128",China,"Homo sapiens",Stomach,UBERON:0000945,"gastric cancer",MONDO:0001056,"intestinal metaplasia","gastric cancer",,37,17,"2 months",16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,"age,helicobacter pylori,sex",,,decreased,,,decreased,Complete,
"Experiment 1","Study 157",China,"Homo sapiens",Saliva,UBERON:0001836,"esophageal cancer",MONDO:0007576,Dysplasia,"Esophageal Squamous cell carcinoma (ESCC)","Histopathological confirmation, complete questionnaire with saliva sample",63,87,"1 month",16S,"3,4",Roche454,T-Test,0.05,true,,"age,sex",,,decreased,unchanged,,,,Complete,
"Experiment 1","Study 300","United States of America","Homo sapiens",Feces,UBERON:0001988,"graft versus host disease",MONDO:0013730,"non- graft- versus- host disease","acute graft- versus- host disease","individual's receiving Hematopoietic cell transplantation (HCT) and having a grade 1-4 for acute graft-versus-host-disease",14,52,,16S,"3,4",Illumina,T-Test,0.05,true,,,,,,,,decreased,,Complete,
"Experiment 1","Study 174",China,"Homo sapiens",Stomach,UBERON:0000945,"gastric cancer",MONDO:0001056,"paired adjacent non-cacerous tissue","cacerous tissue","gastric cancer patients who underwent subtotal gastrectomy",62,62,"1 month",16S,"4,5",Illumina,LEfSe,0.05,true,3,,,,increased,increased,,,increased,Complete,
