"Study page name","Study design",PMID,DOI,URL,"Authors list",Title,Journal,Year,Abstract,State,Reviewer
"Study 330","cross-sectional observational, not case-control",29955075,10.1038/s41598-018-27980-3,,"Tuominen H, Rautava S, Syrjänen S, Collado MC , Rautava J","HPV infection and bacterial microbiota in the placenta, uterine cervix and oral mucosa","Scientific reports",2018,"We investigated the association between HPV infection and bacterial microbiota composition in the placenta, uterine cervix and mouth in thirty-nine women. HPV DNA genotyping of 24 types was conducted using Multimetrix®. Microbiota composition was characterized by 16S rRNA gene sequencing. HPV DNA was detected in 33% of placenta, 23% cervical and 33% oral samples. HPV16 was the most frequent type in all regions. HPV infection was associated with higher microbiota richness (p = 0.032) in the mouth but did not influence microbial diversity or richness in other samples. HPV infection was associated with higher abundance of Lactobacillaceae (p = 0.0036) and Ureaplasma (LDA score > 4.0, p < 0.05) in the placenta, Haemophilus (p = 0.00058) and Peptostreptococcus (p = 0.0069) genus in the cervix and Selenomonas spp. (p = 0.0032) in the mouth compared to HPV negative samples. These data suggest altered bacterial microbiota composition in HPV positive placenta, cervix and mouth. Whether the changes in bacterial microbiota predispose or result from HPV remains to be determined in future studies.",Complete,"Fatima Zohra"
"Study 331",case-control,29320965,10.1089/thy.2017.0395,,"Zhao F, Feng J, Li J, Zhao L, Liu Y, Chen H, Jin Y, Zhu B , Wei Y","Alterations of the Gut Microbiota in Hashimoto's Thyroiditis Patients","Thyroid : official journal of the American Thyroid Association",2018,"BACKGROUND: Hashimoto's thyroiditis (HT) is an organ-specific autoimmune disease in which both genetic predisposition and environmental factors serve as disease triggers. Many studies have indicated that alterations in the gut microbiota are important environmental factors in the development of inflammatory and autoimmune diseases. A comparative analysis was systematically performed of the gut microbiota in HT patients and healthy controls. METHODS: First, a cross-sectional study of 28 HT patients and 16 matched healthy controls was conducted. Fecal samples were collected, and microbiota were analyzed using 16S ribosomal RNA gene sequencing. Second, an independent cohort of 22 HT patients and 11 healthy controls was used to evaluate the diagnostic potential of the selected biomarkers. RESULTS: Similar levels of bacterial richness and diversity were found in the gut microbiota of HT patients and healthy controls (p = 0.11). A detailed fecal microbiota Mann-Whitney U-test (Q value <0.05) revealed that the abundance levels of Blautia, Roseburia, Ruminococcus_torques_group, Romboutsia, Dorea, Fusicatenibacter, and Eubacterium_hallii_group genera were increased in HT patients, whereas the abundance levels of Fecalibacterium, Bacteroides, Prevotella_9, and Lachnoclostridium genera were decreased. A correlation matrix based on the Spearman correlation distance confirmed correlations among seven clinical parameters. Additionally, the linear discriminant analysis effect size method showed significant differences in 27 genera between the two groups that were strongly correlated with clinical parameters. The linear discriminant analysis value was used to select the first 10 species from the 27 different genera as biomarkers, achieving area under the curve values of 0.91 and 0.88 for exploration and validation data, respectively. CONCLUSIONS: Characterization of the gut microbiota in HT patients confirmed that HT patients have altered gut microbiota and that gut microbiota are correlated with clinical parameters, suggesting that microbiome composition data could be used for disease diagnosis. Further investigation is required to understand better the role of the gut microbiota in the pathogenesis of HT.",Complete,
"Study 332",case-control,28903182,10.1016/j.biopha.2017.08.101,,"Ishaq HM, Mohammad IS, Guo H, Shahzad M, Hou YJ, Ma C, Naseem Z, Wu X, Shi P , Xu J","Molecular estimation of alteration in intestinal microbial composition in Hashimoto's thyroiditis patients","Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie",2017,"The gut microbiota has a crucial effect on human health and physiology. Hypothyroid Hashimoto's thyroiditis (HT) is an autoimmune disorder manifested with environmental and genetic factors. However, it is hypothesized that intestinal microbes might play a vital role in the pathogenesis of HT. The aim of current was to investigate and characterize the gut microbial composition of HT patients both quantitatively and qualitatively. The fecal samples from 29 HT patients and 12 healthy individuals were collected. The PCR-DGGE targeted V3 site of 16S rRNA gene and real time PCR for Bifidobacterium Lactobacillus, Bacteroides vulgatus and Clostridium leptum were performed. Pyrosequencing of 16S rRNA gene with V4 location was performed on 20 randomly selected samples. The comparative analysis of diversity and richness indices revealed diversification of gut microbiota in HT as compared to control. The statistical data elucidate the alterations in phyla of HT patients which was also affirmed at the family level. We observed the declined abundance of Prevotella_9 and Dialister, while elevated genera of the diseased group included Escherichia-Shigella and Parasutterella. The alteration in gut microbial configuration was also monitored at the species level, which showed an increased abundance of E. coli in HT. Therefore, the current study is in agreement with the hypothesis that HT patients have intestinal microbial dysbiosis. The taxa statistics at species-level along with each gut microbial community were modified in HT. Thus, the current study may offer the new insights into the treatment of HT patients, disease pathway, and mechanism.",Complete,
"Study 333","cross-sectional observational, not case-control",30042470,10.1038/s41372-018-0172-1,,"Imoto N, Morita H, Amanuma F, Maruyama H, Watanabe S , Hashiguchi N","Maternal antimicrobial use at delivery has a stronger impact than mode of delivery on bifidobacterial colonization in infants: a pilot study","Journal of perinatology : official journal of the California Perinatal Association",2018,"OBJECTIVE: To investigate factors related to bifidobacterial colonization in early infancy, with a focus on maternal antimicrobial use at delivery. STUDY DESIGN: A cross-sectional pilot study was performed. Feces samples of 33 Japanese healthy infants were collected over 10 months and analyzed by next-generation sequencing to examine the diversity and abundance of the gut microbiota. RESULTS: The beta diversity index of the gut microbiota differed significantly based on maternal antimicrobial use at delivery (P < 0.05). The most dominant genus was bifidobacteria, and the relative abundance of bifidobacteria in infants exposed to maternal antibiotics was significantly lower than in those who were not exposed (P < 0.05). In contrast, the delivery mode showed no significant relationship with gut microbiota diversity. CONCLUSIONS: Maternal antimicrobial use at delivery has a stronger effect than delivery mode on the gut microbiota, especially for colonization of bifidobacteria.",Complete,
"Study 334","time series / longitudinal observational",29554907,10.1186/s12941-018-0264-y,,"Zou ZH, Liu D, Li HD, Zhu DP, He Y, Hou T , Yu JL","Prenatal and postnatal antibiotic exposure influences the gut microbiota of preterm infants in neonatal intensive care units","Annals of clinical microbiology and antimicrobials",2018,"BACKGROUND: To explore the influences of prenatal antibiotic exposure, the intensity of prenatal and postnatal antibiotic exposure on gut microbiota of preterm infants and whether gut microbiota and drug resistant strains in the neonatal intensive care unit (NICU) over a defined period are related. METHODS: Among 28 preterm infants, there were two groups, the PAT (prenatal antibiotic therapy) group (12 cases), and the PAF (prenatal antibiotic free) group (12 cases). Fecal samples from both groups were collected on days 7 and 14. According to the time of prenatal and postnatal antibiotic exposure, cases were divided into two groups, H (high) group (11 cases) and L (low) group (11 cases), and fecal samples on day 14 were collected. Genomic DNA was extracted from the fecal samples and was subjected to high throughput 16S rRNA amplicon sequencing. Bioinformatics methods were used to analyze the sequencing results. RESULTS: Prenatal and postnatal antibiotic exposure exercised influence on the early establishment of intestinal microflora of preterm infants. Bacteroidetes decreased significantly in the PAT group (p < 0.05). The number of Bifidobacterium significantly decreased in the PAT group and H group (p < 0.05). The early gut microbiota of preterm infants with prenatal and postnatal antibiotic exposure was similar to resistant bacteria in NICU during the same period. CONCLUSION: Prenatal and postnatal antibiotic exposure may affect the composition of early gut microbiota in preterm infants. Antibiotic-resistant bacteria in NICU may play a role in reshaping the early gut microbiota of preterm infants with prenatal and postnatal antibiotic exposure.",Complete,
"Study 335","laboratory experiment",23638009,10.1371/journal.pone.0062220,,"Kish L, Hotte N, Kaplan GG, Vincent R, Tso R, Gänzle M, Rioux KP, Thiesen A, Barkema HW, Wine E , Madsen KL","Environmental particulate matter induces murine intestinal inflammatory responses and alters the gut microbiome","PloS one",2013,"BACKGROUND: Particulate matter (PM) is a key pollutant in ambient air that has been associated with negative health conditions in urban environments. The aim of this study was to examine the effects of orally administered PM on the gut microbiome and immune function under normal and inflammatory conditions. METHODS: Wild-type 129/SvEv mice were gavaged with Ottawa urban PM10 (EHC-93) for 7-14 days and mucosal gene expression analyzed using Ingenuity Pathways software. Intestinal permeability was measured by lactulose/mannitol excretion in urine. At sacrifice, segments of small and large intestine were cultured and cytokine secretion measured. Splenocytes were isolated and incubated with PM10 for measurement of proliferation. Long-term effects of exposure (35 days) on intestinal cytokine expression were measured in wild-type and IL-10 deficient (IL-10(-/-)) mice. Microbial composition of stool samples was assessed using terminal restriction fragment length polymorphism. Short chain fatty acids were measured in caecum. RESULTS: Short-term treatment of wild-type mice with PM10 altered immune gene expression, enhanced pro-inflammatory cytokine secretion in the small intestine, increased gut permeability, and induced hyporesponsiveness in splenocytes. Long-term treatment of wild-type and IL-10(-/-) mice increased pro-inflammatory cytokine expression in the colon and altered short chain fatty acid concentrations and microbial composition. IL-10(-/-) mice had increased disease as evidenced by enhanced histological damage. CONCLUSIONS: Ingestion of airborne particulate matter alters the gut microbiome and induces acute and chronic inflammatory responses in the intestine.",Complete,
"Study 336","prospective cohort",28808302,10.1038/s41598-017-08530-9,,"Zhu D, Xiao S, Yu J, Ai Q, He Y, Cheng C, Zhang Y , Pan Y","Effects of One-Week Empirical Antibiotic Therapy on the Early Development of Gut Microbiota and Metabolites in Preterm Infants","Scientific reports",2017,"The early postnatal period is the most dynamic and vulnerable stage in the assembly of intestinal microbiota. Antibiotics are commonly prescribed to newborn preterm babies and are frequently used for a prolonged duration in China. We hypothesized that the prolonged antibiotic therapy would affect the early development of intestinal microbiota and their metabolites. To test this hypothesis, we analyzed the stool microbiota and metabolites in 36 preterm babies with or without antibiotic treatment. These babies were divided into three groups, including two groups treated with the combination of penicillin and moxalactam or piperacillin-tazobactam for 7 days, and the other group was free of antibiotics. Compared to the antibiotic-free group, both antibiotic-treated groups had distinct gut microbial communities and metabolites, including a reduction of bacterial diversity and an enrichment of harmful bacteria such as Streptococcus and Pseudomonas. In addition, there was a significant difference in the composition of gut microbiota and their metabolites between the two antibiotic-treated groups, where the piperacillin-tazobactam treatment group showed an overgrowth of Enterococcus. These findings suggest that prolonged antibiotic therapy affects the early development of gut microbiota in preterm infants, which should be considered when prescribing antibiotics for this population.",Complete,Chloe
"Study 337","prospective cohort",31226994,10.1186/s12941-019-0318-9,,"Zhang M, Differding MK, Benjamin-Neelon SE, Østbye T, Hoyo C , Mueller NT","Association of prenatal antibiotics with measures of infant adiposity and the gut microbiome","Annals of clinical microbiology and antimicrobials",2019,"BACKGROUND: Prenatal antibiotic exposure has been associated with an altered infant gut microbiome composition and higher risk of childhood obesity, but no studies have examined if prenatal antibiotics simultaneously alter the gut microbiome and adiposity in infants. METHOD: In this prospective study (Nurture: recruitment 2013-2015 in North Carolina, United States), we examined in 454 infants the association of prenatal antibiotic exposure (by any prenatal antibiotic exposure; by trimester of pregnancy; by number of courses; by type of antibiotics) with infant age- and sex-specific weight-for-length z score (WFL-z) and skinfold thicknesses (subscapular, triceps, abdominal) at 12 months of age. In a subsample, we also examined whether prenatal antibiotic exposure was associated with alterations in the infant gut microbiome at ages 3 and 12 months. RESULTS: Compared to infants not exposed to prenatal antibiotics, infants who were exposed to any prenatal antibiotics had 0.21 (95% confidence interval [CI] 0.02, 0.41) higher WFL-z at 12 months, and 0.28 (95% CI 0.02, 0.55) higher WFL-z if they were exposed to antibiotics in the second trimester, after adjustment for potential confounders, birth weight, and gestational age. We also observed a dose-dependent association (P-value for trend = 0.006) with infants exposed to ≥ 3 courses having 0.41 (95% CI 0.13, 0.68) higher WFL-z at 12 months. After further adjustment for delivery method, only second-trimester antibiotic exposure remained associated with higher infant WFL-z (0.27, 95% CI 0.003, 0.54) and subscapular skinfold thickness (0.49 mm, 95% CI 0.11, 0.88) at 12 months. Infants exposed to second-trimester antibiotics versus not had differential abundance of 13 bacterial amplicon sequence variants (ASVs) at age 3 months and 17 ASVs at 12 months (false discovery rate adjusted P-value < 0.05). CONCLUSIONS: Prenatal antibiotic exposure in the second trimester was associated with an altered infant gut microbiome composition at 3 and 12 months and with higher infant WFL-z and subscapular skinfold thickness at 12 months.",Complete,Claregrieve1
"Study 338",case-control,31976177,10.7717/peerj.8317,,"Chen X, Sun H, Jiang F, Shen Y, Li X, Hu X, Shen X , Wei P","Alteration of the gut microbiota associated with childhood obesity by 16S rRNA gene sequencing",PeerJ,2020,"Background: Obesity is a global epidemic in the industrialized and developing world, and many children suffer from obesity-related complications. Gut microbiota dysbiosis might have significant effect on the development of obesity. The microbiota continues to develop through childhood and thus childhood may be the prime time for microbiota interventions to realize health promotion or disease prevention. Therefore, it is crucial to understand the structure and function of pediatric gut microbiota. Methods: According to the inclusion criteria and exclusion criteria, twenty-three normal weight and twenty-eight obese children were recruited from Nanjing, China. Genomic DNA was extracted from fecal samples. The V4 region of the bacterial 16S rDNA was amplified by PCR, and sequencing was applied to analyze the gut microbiota diversity and composition using the Illumina HiSeq 2500 platform. Results: The number of operational taxonomic units (OTUs) showed a decrease in the diversity of gut microbiota with increasing body weight. The alpha diversity indices showed that the normal weight group had higher abundance and observed species than the obese group (Chao1: P < 0.001; observed species: P < 0.001; PD whole tree: P < 0.001; Shannon index: P = 0.008). Principal coordinate analysis (PCoA) and Nonmetric multidimensional scaling (NMDS) revealed significant differences in gut microbial community structure between the normal weight group and the obese group. The liner discriminant analysis (LDA) effect size (LEfSe) analysis showed that fifty-five species of bacteria were abundant in the fecal samples of the normal weight group and forty-five species of bacteria were abundant in the obese group. In regard to phyla, the gut microbiota in the obese group had lower proportions of Bacteroidetes (51.35%) compared to the normal weight group (55.48%) (P = 0.030). There was no statistical difference in Firmicutes between the two groups (P = 0.436), and the Firmicutes/Bacteroidetes between the two groups had no statistical difference (P = 0.983). At the genus level, Faecalibacterium, Phascolarctobacterium, Lachnospira, Megamonas, and Haemophilus were significantly more abundant in the obese group than in the normal weight group (P = 0.048, P = 0.018, P < 0.001, P = 0.040, and P = 0.003, respectively). The fecal microbiota of children in the obese group had lower proportions of Oscillospira and Dialister compared to the normal weight group (P = 0.002 and P = 0.002, respectively). Conclusions: Our results showed a decrease in gut microbiota abundance and diversity as the BMI increased. Variations in the bacterial community structure were associated with obesity. Gut microbiota dysbiosis might play a crucial part in the development of obesity in Chinese children.",Complete,Claregrieve1
"Study 339","laboratory experiment",28211537,10.1038/srep42906,,"Li R, Yang J, Saffari A, Jacobs J, Baek KI, Hough G, Larauche MH, Ma J, Jen N, Moussaoui N, Zhou B, Kang H, Reddy S, Henning SM, Campen MJ, Pisegna J, Li Z, Fogelman AM, Sioutas C, Navab M , Hsiai TK","Ambient Ultrafine Particle Ingestion Alters Gut Microbiota in Association with Increased Atherogenic Lipid Metabolites","Scientific reports",2017,"Ambient particulate matter (PM) exposure is associated with atherosclerosis and inflammatory bowel disease. Ultrafine particles (UFP, dp < 0.1-0.2 μm) are redox active components of PM. We hypothesized that orally ingested UFP promoted atherogenic lipid metabolites in both the intestine and plasma via altered gut microbiota composition. Low density lipoprotein receptor-null (Ldlr-/-) mice on a high-fat diet were orally administered with vehicle control or UFP (40 μg/mouse/day) for 3 days a week. After 10 weeks, UFP ingested mice developed macrophage and neutrophil infiltration in the intestinal villi, accompanied by elevated cholesterol but reduced coprostanol levels in the cecum, as well as elevated atherogenic lysophosphatidylcholine (LPC 18:1) and lysophosphatidic acids (LPAs) in the intestine and plasma. At the phylum level, Principle Component Analysis revealed significant segregation of microbiota compositions which was validated by Beta diversity analysis. UFP-exposed mice developed increased abundance in Verrocomicrobia but decreased Actinobacteria, Cyanobacteria, and Firmicutes as well as a reduced diversity in microbiome. Spearman's analysis negatively correlated Actinobacteria with cecal cholesterol, intestinal and plasma LPC18:1, and Firmicutes and Cyanobacteria with plasma LPC 18:1. Thus, ultrafine particles ingestion alters gut microbiota composition, accompanied by increased atherogenic lipid metabolites. These findings implicate the gut-vascular axis in a atherosclerosis model.",Complete,Claregrieve1
"Study 340","prospective cohort",30568265,10.1038/s41366-018-0290-z,,"Karvonen AM, Sordillo JE, Gold DR, Bacharier LB, O'Connor GT, Zeiger RS, Beigelman A, Weiss ST , Litonjua AA","Gut microbiota and overweight in 3-year old children","International journal of obesity (2005)",2019,"BACKGROUND: The gut microbiota has been associated with overweight and obesity in adults, but the evidence in children is limited. Our aim was to study whether composition of the gut microbiota at the age of 3 years is associated with overweight/obesity in children cross-sectionally. METHODS: Children, who participated in a clinical trial of prenatal vitamin-D supplementation (VDAART), underwent standardized height and weight measurements, and collection of stool samples at 3 years of age. 16 S rRNA sequencing (V4 region) of the stool samples were performed with Illumina MiSeq. Associations between microbiota and overweight/obesity (body mass index z-scores >85th percentile) was analyzed using logistic regression. RESULTS: Out of 502 children, 146 (29%) were categorized as overweight/obese. Maternal pre-pregnancy BMI, birth weight and length, formula feeding during the first year, high frequency of fast food consumption, and time watching TV or computer screen at 3 years were the risk factors for overweight/obesity. Of the top 20 most abundant genera, high relative abundance of Parabacteroidetes (Bacteroidetes; Bacteroidales) (aOR(95% CI): 0.69 (0.53, 0.90, p = 0.007) per interquartile increase) and unassigned genus within Peptostreptococcae family were inversely associated with overweight/obesity, whereas high relative abundance of Dorea (Firmicutes;Clostridiales) (1.23 (1.05, 1.43, p = 0.009)) was positively associated. Associations were independent of each other. No associations were found between diversity indices and overweight/obesity. CONCLUSIONS: Our data suggest that some of the differences in gut composition of bacteria between obese and non-obese adults can already be observed in 3-year old children. Longitudinal studies will be needed to determine long-term effects.",Complete,
"Study 341","prospective cohort",30157953,10.1186/s40168-018-0531-3,,"Shanahan ER, Shah A, Koloski N, Walker MM, Talley NJ, Morrison M , Holtmann GJ","Influence of cigarette smoking on the human duodenal mucosa-associated microbiota",Microbiome,2018,"BACKGROUND: Cigarette smoking is a known risk factor in a number of gastrointestinal (GI) diseases in which the microbiota is implicated, including duodenal ulcer and Crohn's disease. Smoking has the potential to alter the microbiota; however, to date, the impact of smoking on the mucosa-associated microbiota (MAM), and particularly that of the upper GI tract, remains very poorly characterised. Thus, we investigated the impact of smoking on the upper small intestinal MAM. A total of 102 patients undergoing upper GI endoscopy for the assessment of GI symptoms, iron deficiency, or Crohn's disease, but without identifiable lesions in the duodenum, were recruited. Smoking status was determined during clinical assessment and patients classified as current (n = 21), previous smokers (n = 40), or having never smoked (n = 41). The duodenal (D2) MAM was profiled via 16S rRNA gene amplicon sequencing. RESULTS: Smoking, both current and previous, is associated with significantly reduced bacterial diversity in the upper small intestinal mucosa, as compared to patients who had never smoked. This was accompanied by higher relative abundance of Firmicutes, specifically Streptococcus and Veillonella spp. The relative abundance of the genus Rothia was also observed to be greater in current smokers; while in contrast, levels of Prevotella and Neisseria were lower. The MAM profiles and diversity of previous smokers were observed to be intermediate between current and never smokers. Smoking did not impact the total density of bacteria present on the mucosa. CONCLUSIONS: These data indicate the duodenal MAM of current smokers is characterised by reduced bacterial diversity, which is partially but not completely restored in previous smokers. While the precise mechanisms remain to be elucidated, these microbiota changes may in some part explain the adverse effects of smoking on mucosa-associated diseases of the GI tract. Smoking status requires consideration when interpreting MAM data.",Complete,
"Study 342","cross-sectional observational, not case-control",31201890,10.1016/j.jaci.2019.05.035,,"McCauley K, Durack J, Valladares R, Fadrosh DW, Lin DL, Calatroni A, LeBeau PK, Tran HT, Fujimura KE, LaMere B, Merana G, Lynch K, Cohen RT, Pongracic J, Khurana Hershey GK, Kercsmar CM, Gill M, Liu AH, Kim H, Kattan M, Teach SJ, Togias A, Boushey HA, Gern JE, Jackson DJ , Lynch SV","Distinct nasal airway bacterial microbiotas differentially relate to exacerbation in pediatric patients with asthma","The Journal of allergy and clinical immunology",2019,"BACKGROUND: In infants, distinct nasopharyngeal bacterial microbiotas differentially associate with the incidence and severity of acute respiratory tract infection and childhood asthma development. OBJECTIVE: We hypothesized that distinct nasal airway microbiota structures also exist in children with asthma and relate to clinical outcomes. METHODS: Nasal secretion samples (n = 3122) collected after randomization during the fall season from children with asthma (6-17 years, n = 413) enrolled in a trial of omalizumab (anti-IgE) underwent 16S rRNA profiling. Statistical analyses with exacerbation as the primary outcome and rhinovirus infection and respiratory illnesses as secondary outcomes were performed. Using A549 epithelial cells, we assessed nasal isolates of Moraxella, Staphylococcus, and Corynebacterium species for their capacity to induce epithelial damage and inflammatory responses. RESULTS: Six nasal airway microbiota assemblages, each dominated by Moraxella, Staphylococcus, Corynebacterium, Streptococcus, Alloiococcus, or Haemophilus species, were observed. Moraxella and Staphylococcus species-dominated microbiotas were most frequently detected and exhibited temporal stability. Nasal microbiotas dominated by Moraxella species were associated with increased exacerbation risk and eosinophil activation. Staphylococcus or Corynebacterium species-dominated microbiotas were associated with reduced respiratory illness and exacerbation events, whereas Streptococcus species-dominated assemblages increased the risk of rhinovirus infection. Nasal microbiota composition remained relatively stable despite viral infection or exacerbation; only a few taxa belonging to the dominant genera exhibited relative abundance fluctuations during these events. In vitro, Moraxella catarrhalis induced significantly greater epithelial damage and inflammatory cytokine expression (IL-33 and IL-8) compared with other dominant nasal bacterial isolates tested. CONCLUSION: Distinct nasal airway microbiotas of children with asthma relate to the likelihood of exacerbation, rhinovirus infection, and respiratory illnesses during the fall season.",Complete,Claregrieve1
"Study 343","time series / longitudinal observational",31873965,10.1002/cncr.32641,,"Rashidi A, Kaiser T, Graiziger C, Holtan SG, Rehman TU, Weisdorf DJ, Dunny GM, Khoruts A , Staley C","Gut dysbiosis during antileukemia chemotherapy versus allogeneic hematopoietic cell transplantation",Cancer,2020,"BACKGROUND: In the field of malignant hematology, most microbiome studies have focused on recipients of allogeneic hematopoietic cell transplantation (allo-HCT). As a result, this population has remained the primary target for novel microbiota therapeutics. Because the types of insults to the microbiome are similar during hematopoietic cell transplantation and intensive antileukemia therapy, this study evaluated whether the dysbiosis states are similar in the 2 settings. METHODS: This study compared gut microbiota assemblages and community domination states in 2 cohorts of patients: patients with intensively treated acute leukemia (AL) and allo-HCT recipients. 16S ribosomal RNA gene profiling of thrice weekly stool samples was performed. Linear discriminant analysis effect size was used to determine differentially abundant taxa in groups of interest, and mixed modes were used to determine the predictors of microbiome states. RESULTS: Microbiome changes in both cohorts were characterized by a marked loss of diversity and domination of low-diversity communities by Enterococcus. In the AL cohort, the relative abundance of Lactobacillus was also inversely correlated with diversity. Communities dominated by these genera were compositionally different. CONCLUSIONS: Similarities in microbiota assemblages between the 2 cohorts support a broader scope for microbiota-directed therapeutics than previously considered, whereas specific differences suggest a personalized aspect to such therapeutics with the possibility of a differential response.",Complete,
"Study 344","laboratory experiment",31935575,10.1016/j.chemosphere.2020.125879,,"Liu W, Zhou Y, Yong Li Y, Qin L, Yu R, Li Y, Chen Y , Xu","Effects of PM<sub>2.5</sub> exposure during gestation on maternal gut microbiota and pregnancy outcomes",Chemosphere,2020,"A number of studies have reported that fine particulate matter (PM2.5) exposure is associated with adverse pregnancy outcomes. Moreover, PM2.5 exposure contributes to changes of gut microbiota. However, influences of PM2.5 exposure during gestation on maternal gut microbiota and pregnancy outcomes were not well understood. Here we performed a study using mice models. Dams were exposed to PM2.5 suspension by intratracheal instillation on gestational day (GD) 3, 6, 9, 12 and 15. Pregnancy outcomes, maternal gut microbiota and short chain fatty acids on GD 18 were all measured. The fetal body weight of PM2.5 group was significantly lower than that of control group (p < 0.05). Meanwhile, the fetal body length of PM2.5 group was significantly shorter than that of control group (p < 0.05). The Shannon or Simpson index of PM2.5 group were higher than that of control group (p < 0.05). At the phyla level, compared to dams in control group, mice in the PM2.5 group had higher ratio of phyla Proteobacteria, Candidatus Saccharibacteria and Fusobacteria and lower ratio of phyla Acidobacteria, Gemmatimonadetes and Deferribacteres in the gut. Compared with control group, the concentration of isobutyric acid was higher in PM2.5 group, but butyric acid concentration was lower in PM2.5 group (p < 0.05). These findings suggested that prenatal exposure to PM2.5 had an effect on birth weight of fetus. Meanwhile, PM2.5 tracheal exposure during gestation caused changes in the distribution and structure of gut microbiota of dams.",Complete,
"Study 345",case-control,30366118,10.1016/j.anaerobe.2018.10.009,,"Maya-Lucas O, Murugesan S, Nirmalkar K, Alcaraz LD, Hoyo-Vadillo C, Pizano-Zárate ML , García-Mena J","The gut microbiome of Mexican children affected by obesity",Anaerobe,2019,"Obesity is a metabolic disorder and global health issue. In Mexico 34.4% of children between 5 and 11 years-old are overweight or obese. Here we address this issue studying the gut microbiome in a sample of Mexican children affected by obesity. We performed metagenomic shotgun-sequencing of DNA isolated from fecal samples from a cohort of normal weight and obese Mexican children using Illumina platform with HiSeq 2500. We also examined their metabolic factors and fecal short-chain fatty acids concentration. The results show that a remarkable dysbiosis of bacteria, archaea and viruses was not observed in the obese children group compared to the normal weight group; however, the archaeal community exhibited an increase of unclassified Methanobrevibacter spp. in obese children. The bacterial communities of all participants were clustered into three different enterotypes. Most normal weight children have a gut bacterial community dominated by Ruminococcus spp. (Enterotype 3), while most obese children had a community dominated by Prevotella spp. (Enterotype 2). On the other hand, changes in the gut microbiome were correlated with clinical metadata and could be used to stratify individuals based on their phenotype. The species Megamonas spp. were over-represented in obese children, whereas members of the family Oscillospiraceae were depleted in the same individuals and negatively correlated with levels of serum cholesterol. A microbiome comparative metabolic pathway analysis showed that two KEGG pathway modules of glycolysis, Glycolysis I (from Glucose 6-Phosphate), and Glycolysis II (from Fructose 6-Phosphate) were significantly overrepresented in normal weight children. Our results establish specific alterations in the gut microbiome of Mexican children affected of obesity, along with clinical alterations, providing information on the microbiome composition that may be useful for prognosis, diagnosis, and treatment.",Complete,
"Study 346","prospective cohort",32056780,10.1016/j.jad.2019.12.020,,"Madan A, Thompson D, Fowler JC, Ajami NJ, Salas R, Frueh BC, Bradshaw MR, Weinstein BL, Oldham JM , Petrosino JF","The gut microbiota is associated with psychiatric symptom severity and treatment outcome among individuals with serious mental illness","Journal of affective disorders",2020,"BACKGROUND: Emerging evidence implicates the gut microbiota in central nervous system functioning via its effects on inflammation, the hypothalamic-pituitary axis, and/or neurotransmission. Our understanding of the cellular underpinnings of the brain-gut relationship is based almost exclusively on animal models with some small-scale human studies. This study examined the relationship between the gut microbiota and psychiatric symptom severity and treatment response among inpatients with serious mental illness. METHOD: We collected data from adult inpatients (N = 111). Measures of diagnoses, suicide severity, trauma, depression, and anxiety were collected shortly after admission, while self-collected fecal swabs were collected early in the course of hospitalization and processed using 16S rRNA gene sequencing and whole genome shotgun sequencing methods. RESULTS: Results indicate that depression and anxiety severity shortly after admission were negatively associated with bacterial richness and alpha diversity. Additional analyses revealed a number of bacterial taxa associated with depression and anxiety severity. Gut microbiota richness and alpha diversity early in the course of hospitalization was a significant predictor of depression remission at discharge. CONCLUSIONS: This study is among the first to demonstrate a gut microbiota relationship with symptom severity among psychiatric inpatients as well as a relationship to remission of depression post-treatment. These findings are consistent with animal models and limited human studies as well as with the broader literature implicating inflammation in the pathophysiology of depression. These findings offer the foundation for further studies of novel therapeutic approaches to the treatment, prevention of, or recurrence of serious mental illness.",Complete,
"Study 347",case-control,30267022,10.1038/s41598-018-32730-6,,"Gao X, Jia R, Xie L, Kuang L, Feng L , Wan C","A study of the correlation between obesity and intestinal flora in school-age children","Scientific reports",2018,"With the improvement of living standards and dietary changes, childhood obesity has increased worldwide. This study aimed to understand the differences of intestinal flora structure between obese and normal children at school-age. Using the next generation sequencing platform, Illumina Miseq, 16S rDNA high-throughput sequencing technology, we analyzed the diversity and relative abundance of intestinal flora in 39 obese and 38 normal control school-age children. First, we categorized gut bacteria on the basis of their Operational taxonomic units (OTUs) using the RDP 16s rRNA database in RDP classifier. The alpha (α) diversity was used to measure the diversity within a sample and is calculated as a value for each sample. The beta (β) diversity was used to compare different samples and to measure the dissimilarity between each other sample. Our results indicated that intestinal flora in obese children showed lower diversity than normal controls. Significant differences of relative abundance of intestinal flora were detected at multiple levels of classifications. Identification of intestinal flora with significant difference between obese and normal children may provide important information to uncover the roles of these specific bacteria in the development of obesity and find new strategy to prevent and treat obesity through intervening the intestinal flora.",Complete,Claregrieve1
